thread_id,created_at,created_by,message
bcbafb374f714f328d2c1b0fbf0d0e5e,2021-08-03T14:47:48.469000+00:00,Bot,end of 2022
bcbafb374f714f328d2c1b0fbf0d0e5e,2021-08-03T14:47:48.470000+00:00,Bot,take a look at
bcbafb374f714f328d2c1b0fbf0d0e5e,2021-08-03T14:48:09.384000+00:00,Customer,why eternia
bcbafb374f714f328d2c1b0fbf0d0e5e,2021-08-03T14:48:09.551000+00:00,Bot,  large project in madhyamgram locate on badu road pollution free serene environment with large water body around project with low super build up in the vicinity high open space ie 69 in a low rise project develop by one of the lead developer of the eastern india
bcbafb374f714f328d2c1b0fbf0d0e5e,2021-08-03T14:48:09.552000+00:00,Bot,take a look at the image gallery below
bcbafb374f714f328d2c1b0fbf0d0e5e,2021-08-03T14:48:09.572000+00:00,Bot,how else can we help you
bcbafb374f714f328d2c1b0fbf0d0e5e,2021-08-03T14:49:05.652000+00:00,Customer,location
bcbafb374f714f328d2c1b0fbf0d0e5e,2021-08-03T14:49:05.973000+00:00,Bot,eternia be on badu road madhyamgram
bcbafb374f714f328d2c1b0fbf0d0e5e,2021-08-03T14:49:05.974000+00:00,Bot,take a look at
bcbafb374f714f328d2c1b0fbf0d0e5e,2021-08-03T14:49:16.206000+00:00,Customer,walkthrough eternia
bcbafb374f714f328d2c1b0fbf0d0e5e,2021-08-03T14:49:16.343000+00:00,Bot,  your browser do not support the video tag
bcbafb374f714f328d2c1b0fbf0d0e5e,2021-08-03T14:49:16.344000+00:00,Bot,we have design a state of the art experience centre to show you everything you may want to know about the project let get you there
bcbafb374f714f328d2c1b0fbf0d0e5e,2021-08-03T14:49:16.345000+00:00,Bot,we already have your name and contact number could you also please share an email i d of yours to send our project detail
bcbafb374f714f328d2c1b0fbf0d0e5e,2021-08-03T14:49:54.608000+00:00,Customer,azadwbcs03 gmail.com
bcbafb374f714f328d2c1b0fbf0d0e5e,2021-08-03T14:49:54.880000+00:00,Bot,lastly your preferred budget
bcbafb374f714f328d2c1b0fbf0d0e5e,2021-08-03T14:50:12.536000+00:00,Customer,30 lac
bcbafb374f714f328d2c1b0fbf0d0e5e,2021-08-03T14:50:12.938000+00:00,Bot,great we will contact you at the early in the meanwhile if you would like to reach out to we you can call we at 033 4040 2020 10.30 am to 6.30 pm
